Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.07,0.687,162,1458,1090,12969,6035,4323,1604,108,140,0.982,-3,0,21,2,3
Atlanta Braves,48,5.07,0.683,162,1458,1146,12972,5999,4324,1578,97,137,0.984,-27,-2,-4,1,-4
Baltimore Orioles,50,5.19,0.683,162,1458,1083,12969,6026,4323,1609,94,175,0.984,-5,0,-9,1,3
Boston Red Sox,49,4.12,0.68,162,1458,1162,13341,5944,4447,1390,107,126,0.982,10,1,85,0,1
Chicago Cubs,47,4.29,0.699,162,1458,921,13026,6093,4342,1656,95,139,0.984,34,3,40,0,-4
Chicago White Sox,51,5.06,0.7,162,1458,1184,12795,5920,4265,1541,114,157,0.981,16,1,-12,-1,-10
Cincinnati Reds,47,5.36,0.691,162,1458,1154,12870,5994,4290,1623,81,132,0.986,-14,-1,56,1,3
Cleveland Indians,41,3.48,0.683,162,1458,1072,12966,5845,4322,1447,76,167,0.987,42,4,55,0,10
Colorado Rockies,41,4.67,0.683,162,1458,1142,12939,6120,4313,1730,77,168,0.987,19,2,6,3,14
Detroit Tigers,48,5.52,0.668,162,1458,1119,12783,5734,4261,1389,84,146,0.985,-51,-5,-115,-1,-5
Houston Astros,46,4.32,0.682,162,1458,1044,13014,5963,4338,1526,99,153,0.983,-15,-1,21,-1,-5
Kansas City Royals,49,4.88,0.685,162,1458,1126,12939,5916,4313,1524,79,145,0.987,-24,-2,-55,-1,4
Los Angeles Angels,55,4.38,0.7,162,1458,1125,12966,5864,4322,1462,80,135,0.986,43,4,52,1,5
Los Angeles Dodgers,52,3.58,0.703,162,1458,1026,13002,5789,4334,1367,88,131,0.985,24,2,67,1,0
Miami Marlins,43,5.07,0.691,162,1458,1165,12984,5955,4328,1554,73,156,0.988,-1,0,24,1,8
Milwaukee Brewers,50,4.3,0.684,162,1458,1035,13011,6076,4337,1624,115,164,0.981,7,1,25,1,-2
Minnesota Twins,52,4.86,0.692,162,1458,1130,12924,5863,4308,1477,78,143,0.987,37,3,26,0,-4
New York Mets,51,5.33,0.667,162,1458,1125,12912,5852,4304,1456,92,125,0.984,-63,-6,-68,-1,-4
New York Yankees,51,4.07,0.703,162,1458,1131,13038,5909,4346,1468,95,102,0.984,29,3,28,-2,-11
Oakland Athletics,54,5.1,0.686,162,1458,1111,12879,6011,4293,1597,121,162,0.98,-34,-3,-41,0,0
Philadelphia Phillies,51,4.83,0.683,162,1458,1132,12969,5902,4323,1497,82,145,0.986,-33,-3,-31,-2,-1
Pittsburgh Pirates,46,4.51,0.679,162,1458,1074,12966,6083,4322,1662,99,156,0.984,-29,-3,24,0,0
San Diego Padres,52,5.04,0.683,162,1458,1080,12876,6028,4292,1623,113,177,0.981,-2,0,17,0,-1
Seattle Mariners,61,4.77,0.7,162,1458,1154,12963,5846,4321,1422,103,147,0.982,17,2,7,0,-5
San Francisco Giants,49,4.79,0.679,162,1458,1081,13068,5965,4356,1522,87,127,0.985,-23,-2,-29,1,5
St. Louis Cardinals,47,4.35,0.687,162,1458,1100,13053,6039,4351,1594,94,164,0.984,17,2,31,1,1
Tampa Bay Rays,53,4.35,0.701,162,1458,1129,13005,5868,4335,1433,100,129,0.983,18,2,44,0,-7
Texas Rangers,51,5.04,0.695,162,1458,1131,12909,6027,4303,1616,108,173,0.982,50,5,4,0,1
Toronto Blue Jays,60,4.84,0.682,162,1458,1073,13185,6057,4395,1570,92,145,0.985,-35,-3,6,0,6
Washington Nationals,49,4.15,0.698,162,1458,1118,13020,5860,4340,1434,86,139,0.985,8,1,-31,0,-8
